country_code,year,medal_count,country_name,gdp,athlete_count,ratio
HUN,2000,53,Hungary,47310623887.2319,238,0.22268907563025211
HUN,2004,40,Hungary,104066609517.928,258,0.15503875968992248
HUN,2008,27,Hungary,157998423131.739,216,0.125
HUN,2012,26,Hungary,127856647107.82,201,0.12935323383084577
HUN,2016,22,Hungary,125816640420.569,204,0.10784313725490197
IND,1960,13,India,36535925029.925,49,0.2653061224489796
IND,1964,15,India,55726873075.8731,112,0.13392857142857142
IND,1968,16,India,52377324280,30,0.5333333333333333
IND,1972,14,India,70509913046.8528,43,0.32558139534883723
IND,1980,16,India,183839864648.794,78,0.20512820512820512
IND,1996,1,India,387656017799.599,54,0.018518518518518517
IND,2000,1,India,462146799336.77,70,0.014285714285714285
IND,2004,1,India,699688852930.441,81,0.012345679012345678
IND,2008,3,India,1186952757635.85,67,0.04477611940298507
IND,2012,6,India,1827637859135.7,95,0.06315789473684211
IND,2016,2,India,2263792499341.01,130,0.015384615384615385
IRL,1964,1,Ireland,2766608945.87402,35,0.02857142857142857
IRL,1980,3,Ireland,21773901116.6855,57,0.05263157894736842
IRL,1984,1,Ireland,20130728273.8603,55,0.01818181818181818
IRL,1992,2,Ireland,55985505158.7833,81,0.024691358024691357
IRL,1996,4,Ireland,75880630040.3226,99,0.04040404040404041
IRL,2000,1,Ireland,99853528745.1631,76,0.013157894736842105
IRL,2008,3,Ireland,275020018163.176,63,0.047619047619047616
IRL,2012,5,Ireland,225571857948.338,76,0.06578947368421052
IRL,2016,3,Ireland,304819020500.641,93,0.03225806451612903
IRQ,1960,1,Iraq,1684121534.58415,28,0.03571428571428571
ISL,1984,1,Iceland,2887825523.68452,45,0.022222222222222223
ISL,2000,1,Iceland,8946079678.43696,29,0.034482758620689655
ISL,2008,14,Iceland,17640375722.4448,31,0.45161290322580644
ISR,1992,2,Israel,75575902931.967,44,0.045454545454545456
ISR,1996,1,Israel,109957321960.084,38,0.02631578947368421
ISR,2000,1,Israel,132339311284.428,58,0.017241379310344827
ISR,2004,2,Israel,135445033199.465,46,0.043478260869565216
ISR,2008,1,Israel,215840354626.533,60,0.016666666666666666
ISR,2016,2,Israel,317744784695.1,59,0.03389830508474576
ITA,1960,88,Italy,40385288344.1911,460,0.19130434782608696
ITA,1964,51,Italy,63175417019.0094,349,0.14613180515759314
ITA,1968,33,Italy,87942231678.3505,347,0.09510086455331412
ITA,1972,25,Italy,144780887782.205,414,0.06038647342995169
ITA,1976,31,Italy,223976030937.427,406,0.07635467980295567
ITA,1980,37,Italy,475682506443.59,277,0.13357400722021662
ITA,1984,63,Italy,436443280912.497,485,0.12989690721649486
ITA,1988,29,Italy,888667913418.625,479,0.060542797494780795
ITA,1992,45,Italy,1315806985860.17,611,0.07364975450081833
ITA,1996,71,Italy,1308929351236.04,460,0.15434782608695652
ITA,2000,65,Italy,1141759996314.72,457,0.1422319474835886
ITA,2004,104,Italy,1798314750434.57,474,0.21940928270042195
ITA,2008,42,Italy,2390729163615.06,459,0.0915032679738562
ITA,2012,68,Italy,2072823157059.76,382,0.17801047120418848
ITA,2016,72,Italy,1858913163927.72,399,0.18045112781954886
JAM,1968,1,Jamaica,1083883355.33421,35,0.02857142857142857
JAM,1972,1,Jamaica,1875048859.93485,51,0.0196078431372549
JAM,1976,2,Jamaica,2966010229.8977,36,0.05555555555555555
JAM,1980,3,Jamaica,2679409453.23903,32,0.09375
JAM,1984,7,Jamaica,2373566957.49214,75,0.09333333333333334
JAM,1988,7,Jamaica,3828310734.97795,55,0.12727272727272726
JAM,1992,4,Jamaica,3530892749.02131,59,0.06779661016949153
JAM,1996,16,Jamaica,6504445801.34228,69,0.2318840579710145
JAM,2000,23,Jamaica,8929375580.31569,65,0.35384615384615387
JAM,2004,13,Jamaica,10150978154.5484,62,0.20967741935483872
JAM,2008,14,Jamaica,13678606692.2655,66,0.21212121212121213
JAM,2012,25,Jamaica,14800165406.7733,62,0.4032258064516129
JAM,2016,30,Jamaica,14056908749.3505,77,0.38961038961038963
JOR,2016,1,Jordan,38654727746.4789,8,0.125
JPN,1960,31,Japan,44307342950.4,351,0.08831908831908832
JPN,1964,62,Japan,81749006381.5111,541,0.11460258780036968
JPN,1968,63,Japan,146601072685.511,384,0.1640625
JPN,1972,56,Japan,316393344649.993,427,0.13114754098360656
JPN,1976,41,Japan,583142956487.974,415,0.09879518072289156
JPN,1984,49,Japan,1309740021609.74,440,0.11136363636363636
JPN,1988,20,Japan,3050637784817.52,525,0.0380952380952381
JPN,1992,47,Japan,3897826229662.86,528,0.08901515151515152
JPN,1996,42,Japan,4833712542207.1,448,0.09375
