country_code,year,death_rate
SVK,2013,39.60578777995175
SVK,2014,37.67538450459615
SVK,2015,38.51551686307555
SVK,2016,35.80706769758997
SVK,2017,35.36190176779609
SVN,1990,47.98796882100767
SVN,1991,49.595685205142104
SVN,1992,50.13430660210604
SVN,1993,51.58338665390017
SVN,1994,49.9552090609346
SVN,1995,47.269374631070704
SVN,1996,45.866978939225156
SVN,1997,45.37052613253091
SVN,1998,44.25844066823704
SVN,1999,42.26450105444811
SVN,2000,39.59957631311002
SVN,2001,38.41044676618658
SVN,2002,36.95314707617773
SVN,2003,36.82786218036708
SVN,2004,34.40436861715445
SVN,2005,31.604982855276074
SVN,2006,29.98346069787426
SVN,2007,28.63419065905859
SVN,2008,27.30896919913028
SVN,2009,26.002321678508714
SVN,2010,24.73945276997654
SVN,2011,24.19047776488848
SVN,2012,23.100136822947402
SVN,2013,22.389691730830272
SVN,2014,20.32654365581998
SVN,2015,20.81567124765231
SVN,2016,19.738110842518985
SVN,2017,19.72328919282849
SLB,1990,252.56220472868432
SLB,1991,250.09127802496636
SLB,1992,245.8485380041126
SLB,1993,242.13209520874608
SLB,1994,238.29184419032512
SLB,1995,233.6153366892128
SLB,1996,230.53765107081708
SLB,1997,227.27735523355446
SLB,1998,225.35420389511077
SLB,1999,223.38212333761876
SLB,2000,222.3471876503004
SLB,2001,222.25689557416467
SLB,2002,222.67929312005376
SLB,2003,221.84973462110847
SLB,2004,220.2672779939401
SLB,2005,219.25695927242808
SLB,2006,217.6580059653494
SLB,2007,215.32989295639035
SLB,2008,212.32365204285466
SLB,2009,209.52211533594405
SLB,2010,206.93788302812806
SLB,2011,203.27711006639365
SLB,2012,199.8304531615462
SLB,2013,196.91337857717764
SLB,2014,193.9933519502903
SLB,2015,192.32125775356738
SLB,2016,189.48150085817096
SLB,2017,187.2542829404484
SOM,1990,232.65790055171337
SOM,1991,239.55766122475322
SOM,1992,245.69740407780856
SOM,1993,248.6343889957381
SOM,1994,251.68090894218548
SOM,1995,253.66978335860708
SOM,1996,252.0844393545007
SOM,1997,248.93285233309734
SOM,1998,244.51987541162882
SOM,1999,237.23184429082647
SOM,2000,231.36766741680583
SOM,2001,223.7361025162225
SOM,2002,217.90543530034594
SOM,2003,211.7411009428802
SOM,2004,206.24350754975328
SOM,2005,200.9214592656476
SOM,2006,196.90678514496696
SOM,2007,194.60055088211902
SOM,2008,192.57532948232947
SOM,2009,188.92287824724977
SOM,2010,185.73512334071475
SOM,2011,183.30751369524313
SOM,2012,180.72284621006781
SOM,2013,177.5913420420378
SOM,2014,174.0027052237522
SOM,2015,171.53311536272508
SOM,2016,168.24036392302193
SOM,2017,165.82858222804225
ZAF,1990,75.77715924592269
ZAF,1991,75.0178917221869
ZAF,1992,76.14174278496219
ZAF,1993,75.25692841717864
ZAF,1994,78.57969660819246
ZAF,1995,78.61385395745111
ZAF,1996,88.7436152187621
ZAF,1997,97.6464111436268
ZAF,1998,99.88987163722629
ZAF,1999,99.85101900081784
ZAF,2000,104.50048917268211
ZAF,2001,101.04029243034827
ZAF,2002,100.25500161180432
ZAF,2003,99.20472647582511
ZAF,2004,96.92542142084447
ZAF,2005,95.53564609794971
ZAF,2006,95.23311570266202
ZAF,2007,92.47867154606442
ZAF,2008,89.52501806958917
ZAF,2009,86.33505258257519
ZAF,2010,81.71478047230441
ZAF,2011,76.57392495164652
ZAF,2012,72.85087771608475
ZAF,2013,69.62032629008644
ZAF,2014,67.35810955525542
ZAF,2015,65.6569820093827
ZAF,2016,63.01018395907781
ZAF,2017,57.853890015715216
,1990,199.15082009856647
,1991,197.2232558086868
,1992,195.65710380103934
,1993,190.59532266428016
,1994,186.49715518537835
,1995,182.86739752257253
,1996,180.5785695083018
,1997,183.7084086866488
,1998,181.40173292551827
,1999,173.737524051046
,2000,170.16944911619942
,2001,167.37576828744065
,2002,163.1159800202628
,2003,157.68388431297564
,2004,149.9689141355737
,2005,147.6510318485231
,2006,147.38947327372227
,2007,147.004892023577
,2008,146.34192374839128
,2009,144.74008687056585
,2010,143.92570982413403
,2011,142.6717175836919
,2012,139.314998564649
,2013,137.17810705794588
,2014,134.92862581226592
,2015,133.26788833132156
,2016,131.2674076965775
,2017,128.80321748006003
KOR,1990,54.42378306944461
KOR,1991,52.63448160333344
KOR,1992,49.24111143940294
KOR,1993,47.41213165554528
KOR,1994,46.58509688312518
KOR,1995,44.04121471319008
KOR,1996,42.145111234852386
KOR,1997,41.357388395311155
KOR,1998,41.27463152305854
KOR,1999,41.55081258775205
KOR,2000,41.42906395218284
KOR,2001,39.991543391413025
KOR,2002,39.194262138969655
KOR,2003,37.988476194403006
KOR,2004,36.50769672517716
KOR,2005,34.755380974416305
KOR,2006,32.83388877545911
KOR,2007,31.219474877752962
KOR,2008,29.644190967484292
KOR,2009,28.349556855221874
KOR,2010,27.584014175819693
KOR,2011,27.08048429284567
KOR,2012,25.947490487736488
KOR,2013,25.304849221323725
KOR,2014,23.558437779077245
KOR,2015,23.475669015886375
KOR,2016,21.884708352766697
KOR,2017,21.69790198713537
SSD,1990,205.55708408790298
SSD,1991,204.89535783566106
SSD,1992,207.52018953380698
SSD,1993,208.87067905552632
SSD,1994,209.12487245188595
SSD,1995,209.9248995184276
SSD,1996,208.62775120560892
SSD,1997,203.42519334582107
SSD,1998,200.64951996019838
SSD,1999,195.64192825203278
SSD,2000,190.9613666188744
SSD,2001,184.32585746519044
SSD,2002,179.7325601649877
SSD,2003,177.29107598409195
SSD,2004,176.07904983039458
SSD,2005,174.7502770376006
SSD,2006,175.3124051585135
SSD,2007,173.582564591098
SSD,2008,171.64357926112945
SSD,2009,168.77137497312094
SSD,2010,165.8014153623583
SSD,2011,163.30683098611533
SSD,2012,161.08517367442067
SSD,2013,161.24087750293728
SSD,2014,160.00156903691578
SSD,2015,160.89468487415104
SSD,2016,159.05513266728386
SSD,2017,156.1654698833523
,1990,117.6287784620989
,1991,114.83569951936273
,1992,112.70556345724931
,1993,110.09837371664565
,1994,107.4748004090559
,1995,105.33120004606741
,1996,103.29069346524957
,1997,100.880349997689
,1998,98.68435713501398
,1999,97.38326283244115
,2000,95.80869266377837
,2001,94.16923051496676
,2002,92.95675508705628
,2003,91.66348122149031
,2004,90.47469926553003
,2005,88.99544219420726
,2006,87.63529523639937
,2007,85.98711948446345
,2008,84.57273563500185
,2009,82.73308380875665
,2010,80.76782945218164
,2011,78.89352354416324
,2012,76.95556396929888
,2013,74.5348393070136
,2014,72.52190590785426
,2015,70.94207136938867
,2016,68.52215980122962
,2017,66.89490627615808
,1990,167.31353214790647
,1991,164.61241139073812
,1992,160.68950681097647
,1993,156.40925762145875
,1994,152.02790587926785
,1995,146.91790720681115
,1996,142.62572256224692
,1997,137.9126047611815
,1998,133.93208237717695
,1999,128.72873598696444
,2000,124.6645333634469
,2001,120.63826875143367
,2002,118.114625472804
,2003,115.95578540836091
,2004,112.48534134237174
,2005,107.15926454162229
,2006,100.51389434497224
,2007,96.28056517814774
,2008,94.14420765574705
,2009,92.77363509946923
,2010,91.30608110235504
,2011,89.09713586652008
,2012,84.89529214110104
,2013,81.2459563742772
,2014,78.68388036771738
,2015,77.77720552650453
,2016,74.51444725482679
,2017,72.56410760755641
,1990,46.68229683022746
,1991,45.39682700084453
,1992,45.29886171695892
,1993,44.61178973122123
,1994,43.15646352903728
,1995,42.57875823397814
,1996,42.72690391218522
,1997,42.81501465532594
,1998,43.172868731321145
,1999,43.21859902530715
,2000,40.40685433937219
,2001,40.58240937356458
,2002,40.27445333011276
,2003,40.10091026022074
,2004,38.218459191587456
,2005,36.36697481988333
,2006,36.00235972065729
,2007,36.732933500406496
,2008,34.89833614014206
,2009,34.71945553640386
,2010,34.24092572474914
,2011,34.4194797437233
,2012,32.74710072832826
,2013,31.855405142901727
,2014,30.119088651855275
,2015,29.93540619053211
,2016,28.831655254152462
,2017,28.393856638459727
,1990,85.79388182078618
,1991,84.13510227037875
,1992,84.49624514932935
,1993,83.42379002249385
,1994,85.87031823716033
,1995,86.19610534123875
,1996,93.99333998502983
,1997,101.41134781562775
,1998,104.58739183421413
,1999,106.3503827875993
,2000,111.84348777844154
,2001,110.19617189701391
,2002,110.82787793673484
,2003,110.50141238061349
,2004,108.99799740396917
,2005,108.00712951049961
,2006,107.57641987359357
,2007,105.27350221695619
,2008,103.12412109005943
,2009,100.28904631391904
,2010,95.94549676286468
,2011,90.75381692740586
,2012,86.60683720016823
,2013,82.97455102725876
,2014,80.16695962715315
,2015,77.87242031444102
,2016,74.84209993404143
,2017,69.84809263012343
ESP,1990,32.163941855260155
ESP,1991,31.642923232202886
ESP,1992,30.192931845612765
ESP,1993,29.386832354519143
ESP,1994,28.590190017369782
ESP,1995,28.29986887043457
ESP,1996,27.965041501985258
ESP,1997,26.959466170790044
ESP,1998,26.936586144439104
ESP,1999,27.047917525893574
